,url,Attribute,Home Result,Away Result
147,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Dropped Goals,0,0
148,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
149,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Total Runs,110,132
150,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Metres Run With Ball,519,504
151,https://www.flashscore.com/match/fLOosLSR/#/match-summary/match-statistics/0,Yellow Cards,1,1
152,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Tries,8,1
153,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Conversion Goals,7,1
154,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Conversion Goal Attempts,7,1
155,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Penalty Goals,2,0
156,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,0
157,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Goals %,100,100
158,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Dropped Goals,0,0
159,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
160,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Total Runs,143,112
161,https://www.flashscore.com/match/4S9yMPbG/#/match-summary/match-statistics/0,Metres Run With Ball,513,457
162,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Tries,11,0
163,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Conversion Goals,9,0
164,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Conversion Goal Attempts,11,0
165,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Penalty Goals,0,0
166,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,0
167,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Goals %,82,0
168,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Dropped Goals,0,0
169,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
170,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Total Runs,173,88
171,https://www.flashscore.com/match/AXvrE1Qb/#/match-summary/match-statistics/0,Metres Run With Ball,843,269
172,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Tries,7,3
173,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Conversion Goals,7,0
174,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Conversion Goal Attempts,7,3
175,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Penalty Goals,0,1
176,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,1
177,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Goals %,100,25
178,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Dropped Goals,0,0
179,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
180,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Total Runs,117,117
181,https://www.flashscore.com/match/SMYHRhSr/#/match-summary/match-statistics/0,Metres Run With Ball,392,253
182,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Tries,5,2
183,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Conversion Goals,3,2
184,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Conversion Goal Attempts,5,2
185,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Penalty Goals,1,0
186,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Penalty Goal Attempts,2,0
187,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Goals %,57,100
188,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Dropped Goals,0,0
189,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
190,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Total Runs,106,140
191,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Metres Run With Ball,528,607
192,https://www.flashscore.com/match/j1gKxDpM/#/match-summary/match-statistics/0,Yellow Cards,2,1
193,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Tries,12,0
194,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Conversion Goals,12,0
195,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Conversion Goal Attempts,12,0
196,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Penalty Goals,0,0
197,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,0
198,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Goals %,100,0
199,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Dropped Goals,0,0
200,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
201,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Total Runs,210,103
202,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Metres Run With Ball,1154,302
203,https://www.flashscore.com/match/ChFWURRl/#/match-summary/match-statistics/0,Yellow Cards,0,3
204,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Tries,2,0
205,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Conversion Goals,2,0
206,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Conversion Goal Attempts,2,0
207,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Penalty Goals,1,4
208,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,4
209,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Goals %,60,100
210,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Dropped Goals,0,0
211,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
212,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Total Runs,149,105
213,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Metres Run With Ball,495,480
214,https://www.flashscore.com/match/CdZtr1DL/#/match-summary/match-statistics/0,Yellow Cards,2,0
215,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Tries,8,1
216,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Conversion Goals,8,0
217,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Conversion Goal Attempts,8,1
218,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Penalty Goals,1,0
219,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,1
220,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Goals %,100,0
221,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Dropped Goals,0,0
222,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
223,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Total Runs,138,86
224,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Metres Run With Ball,720,318
225,https://www.flashscore.com/match/fVHuosT3/#/match-summary/match-statistics/0,Yellow Cards,1,0
226,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Tries,14,2
227,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Conversion Goals,14,2
228,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Conversion Goal Attempts,14,2
229,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Penalty Goals,0,1
230,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Penalty Goal Attempts,0,1
231,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Goals %,100,100
232,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Dropped Goals,0,0
233,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
234,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Total Runs,132,97
235,https://www.flashscore.com/match/niFWM5qA/#/match-summary/match-statistics/0,Metres Run With Ball,808,411
236,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Tries,3,3
237,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Conversion Goals,2,2
238,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,3
239,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Penalty Goals,3,1
240,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Penalty Goal Attempts,3,2
241,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Goals %,83,60
242,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Dropped Goals,0,0
243,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
244,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Total Runs,87,145
245,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Metres Run With Ball,426,440
246,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Yellow Cards,1,1
247,https://www.flashscore.com/match/80GSNoU3/#/match-summary/match-statistics/0,Red Cards,0,1
248,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Tries,5,2
249,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Conversion Goals,4,2
250,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Conversion Goal Attempts,5,2
251,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Penalty Goals,1,4
252,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Penalty Goal Attempts,1,4
253,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Goals %,83,100
254,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Dropped Goals,0,0
255,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Dropped Goal Attempts,0,0
256,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Total Runs,107,94
257,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Metres Run With Ball,368,353
258,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Yellow Cards,1,2
259,https://www.flashscore.com/match/boZeyUlL/#/match-summary/match-statistics/0,Red Cards,0,1
260,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Tries,3,0
261,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Conversion Goals,2,0
262,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Conversion Goal Attempts,3,0
263,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Penalty Goals,6,2
264,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Penalty Goal Attempts,7,2
265,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Goals %,82,100
266,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Dropped Goals,1,0
267,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Dropped Goal Attempts,1,0
268,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Total Runs,93,97
269,https://www.flashscore.com/match/EwHOOREc/#/match-summary/match-statistics/0,Metres Run With Ball,239,302
270,https://www.flashscore.com/match/jcBlqLcG/#/match-summary/match-statistics/0,Tries,7,2
271,https://www.flashscore.com/match/jcBlqLcG/#/match-summary/match-statistics/0,Conversion Goals,5,2
