home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,date,home_num,away_num
Japan,Uruguay,36,20,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2024-11-16,13,30
England,South Africa,20,29,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-16,6,23
Spain,Fiji,19,33,1.0,5.0,0.0,4.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,25,7
South Korea,Zimbabwe,22,27,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2024-11-16,24,32
Netherlands,Chile,20,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-16,16,5
Uganda,Kenya,5,21,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-16,28,14
Italy,Georgia,20,17,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-17,12,9
Wales,Australia,20,52,2.0,8.0,2.0,6.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-17,31,1
France,Argentina,37,23,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-11-22,8,0
Italy,New Zealand,11,29,1.0,4.0,0.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2024-11-23,12,17
Ireland,Fiji,52,17,8.0,2.0,6.0,2.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-23,11,7
Spain,USA,23,26,3.0,4.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2024-11-23,25,27
Romania,Uruguay,21,23,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2024-11-23,20,30
Wales,South Africa,12,45,2.0,7.0,1.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-23,31,23
England,Japan,59,14,9.0,2.0,7.0,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024-11-24,6,13
Scotland,Australia,27,13,4.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2024-11-24,22,1
Georgia,Tonga,22,7,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-11-24,9,26
Ireland,Australia,22,19,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,2024-11-30,11,1
