,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid,home_resid_abs,away_resid_abs,Home Win (%),Away Win (%),Draw (%)
33,Japan,41,USA,24,29.91,11.629238502573283,1,1,0,26.24,12.78099685425498,1,1,1,11.09,-2.2399999999999984,11.09,2.2399999999999984,58.099999999999994,39.6,2.3
34,Tonga,30,Canada,17,29.05,11.627098488950896,1,1,1,27.22,12.864559575610771,1,1,0,0.9499999999999993,-10.219999999999999,0.9499999999999993,10.219999999999999,54.300000000000004,43.45,2.25
35,Fiji,22,USA,3,26.67,10.753010105210775,1,1,1,18.99,11.437793855517434,1,0,0,-4.670000000000002,-15.989999999999998,4.670000000000002,15.989999999999998,68.45,29.099999999999998,2.45
36,Samoa,27,Japan,49,32.41,11.307755209296747,1,1,1,34.33,13.948586397558627,1,0,0,-5.409999999999997,14.670000000000002,5.409999999999997,14.670000000000002,44.775,53.125,2.1
37,Samoa,18,USA,13,22.68,10.484824574983735,1,1,1,22.61,12.12405549299888,1,1,0,-4.68,-9.61,4.68,9.61,49.9,47.675,2.4250000000000003
38,Fiji,41,Japan,17,39.23,11.856877064006657,1,1,1,27.51,12.915230510561678,1,1,0,1.7700000000000031,-10.510000000000002,1.7700000000000031,10.510000000000002,74.7,23.575,1.725
39,Japan,19,New Zealand,64,23.94,10.605886906544187,1,1,1,40.64,15.803394748323663,1,0,0,-4.940000000000001,23.36,4.940000000000001,23.36,19.275000000000002,79.425,1.3
40,England,22,New Zealand,24,20.21,9.925073306563066,1,1,1,26.02,12.195026641899696,1,1,1,1.7899999999999991,-2.0199999999999996,1.7899999999999991,2.0199999999999996,34.725,63.05,2.225
41,Scotland,57,Fiji,17,30.44,12.169753115913824,0,0,0,23.74,12.258278690283843,1,1,1,26.56,-6.739999999999998,26.56,6.739999999999998,63.87500000000001,33.875,2.25
42,Ireland,13,New Zealand,23,21.1,10.176443412967354,1,1,0,21.44,11.440343973672583,1,1,1,-8.100000000000001,1.5599999999999987,8.100000000000001,1.5599999999999987,48.775,48.949999999999996,2.275
43,England,37,Australia,42,26.73,11.242857987954652,1,1,0,24.83,12.268742976926466,1,0,0,10.27,17.17,10.27,17.17,53.77499999999999,43.7,2.5250000000000004
44,Italy,18,Argentina,50,23.01,10.458695992547488,1,1,1,27.87,13.221722738756394,1,0,0,-5.010000000000002,22.13,5.010000000000002,22.13,37.724999999999994,60.075,2.1999999999999997
45,France,52,Japan,12,41.71,12.581868796236884,1,1,0,24.19,11.977361438309401,1,1,0,10.29,-12.190000000000001,10.29,12.190000000000001,83.0,15.55,1.4500000000000002
46,Wales,19,Fiji,24,21.33,10.288031322992788,1,1,1,28.74,12.611400068799018,1,1,1,-2.3299999999999983,-4.739999999999998,2.3299999999999983,4.739999999999998,31.525,66.55,1.925
47,Scotland,15,South Africa,32,20.94,10.204202768450719,1,1,1,26.12,12.438890232808216,1,1,1,-5.940000000000001,5.879999999999999,5.940000000000001,5.879999999999999,37.0,60.724999999999994,2.275
48,Ireland,22,Argentina,19,26.72,10.708322777210986,1,1,1,21.1,11.427128105127014,1,1,1,-4.719999999999999,-2.1000000000000014,4.719999999999999,2.1000000000000014,64.125,33.650000000000006,2.225
49,Japan,36,Uruguay,20,31.71,12.07360599416373,1,1,1,28.55,13.172067987841524,1,1,1,4.289999999999999,-8.55,4.289999999999999,8.55,56.65,41.4,1.95
50,Spain,19,Fiji,33,22.83,10.67155275095495,1,1,1,27.33,13.207576717971985,1,1,1,-3.8299999999999983,5.670000000000002,3.8299999999999983,5.670000000000002,38.675,59.175,2.15
51,Scotland,59,Portugal,21,46.77,14.139213748256342,1,1,0,21.8,12.071192143173436,1,1,1,12.229999999999997,-0.8000000000000007,12.229999999999997,0.8000000000000007,89.8,9.325,0.8750000000000001
52,England,20,South Africa,29,17.6,9.393434448587774,1,1,1,26.24,12.309860202477845,1,1,1,2.3999999999999986,2.7600000000000016,2.3999999999999986,2.7600000000000016,28.175,69.575,2.25
53,France,30,New Zealand,29,23.53,10.599255732957976,1,1,1,24.38,12.006393204238966,1,1,1,6.469999999999999,4.620000000000001,6.469999999999999,4.620000000000001,46.650000000000006,51.025,2.325
54,Italy,20,Georgia,17,21.63,10.549680693811899,1,1,1,22.43,11.884342807632136,1,1,1,-1.629999999999999,-5.43,1.629999999999999,5.43,47.25,50.3,2.45
55,Wales,20,Australia,52,23.49,10.327105474973775,1,1,1,30.02,12.89629073632866,1,0,0,-3.4899999999999984,21.98,3.4899999999999984,21.98,34.65,63.675000000000004,1.675
56,France,37,Argentina,23,29.92,10.842646527224169,1,1,0,23.2,11.788466749212583,1,1,1,7.079999999999998,-0.1999999999999993,7.079999999999998,0.1999999999999993,65.47500000000001,32.225,2.3
