date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2024-07-20,Uruguay,Argentina,5,79,1.0,12.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-20,South Africa,Portugal,64,21,10.0,3.0,7.0,3.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,Australia,Georgia,40,29,6.0,4.0,5.0,3.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-20,New Zealand,Fiji,47,5,7.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-21,Japan,Italy,14,42,2.0,5.0,2.0,4.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
2024-07-27,Uruguay,Scotland,19,31,3.0,5.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-27,Brazil,Belgium,47,25,5.0,3.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
2024-08-10,Australia,South Africa,7,33,1.0,5.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-08-10,New Zealand,Argentina,30,38,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0
2024-08-17,Australia,South Africa,12,30,0.0,4.0,0.0,2.0,0.0,4.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
2024-08-17,New Zealand,Argentina,42,10,6.0,1.0,6.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
